id,name,type,address,city,state,zip,website,primary_contact_id,created_at
1,Wiegand LLC,Nonprofit,20867 Waino Stravenue,East Christelle,KS,42612-3471,https://pale-archaeology.name,1,2020-12-03
2,White - Wintheiser,University,16414 Sylvia Flats,Hahnmouth,NV,97985,https://brilliant-cosset.biz,2,2021-10-05
3,Goldner and Sons,Business,51809 Cumberland Street,Port Melanycester,RI,31863,https://gaseous-fencing.net/,3,2023-06-15
4,"Kozey, Carter and Ratke",University,7454 Bernadette Burg,Haleymouth,VA,47202,https://vengeful-shoulder.name/,4,2024-09-19
5,"Dibbert, Trantow and Lindgren",University,312 Schumm Terrace,New Haylieburgh,CO,93573,https://white-director.info,5,2021-08-18
6,Bashirian - Monahan,Law Firm,39214 E Church Street,Rueckerburgh,OR,66508,https://descriptive-anticodon.name/,6,2023-09-02
7,Langworth - Farrell,Nonprofit,73913 Thurman Trafficway,Lake Reanna,NV,20896-3378,https://sparkling-pantyhose.biz,7,2020-11-15
8,"Moen, Altenwerth and Bradtke",Nonprofit,25662 E Broadway Street,Lake Mabel,TX,50322-9386,https://meager-minor.info,8,2021-01-21
9,"Goyette, Bailey and O'Connell",Foundation,993 Tina Key,West Haven,TX,38315,https://rubbery-middle.biz,9,2023-05-01
10,"Connelly, Leannon and Terry",University,732 The Hawthorns,Tuckahoe,MT,76778-3305,https://light-majority.com/,10,2023-03-14
11,Bashirian - Senger,Business,57260 Justus Mill,Reingerworth,MT,72400,https://tangible-porter.info,11,2020-12-08
12,Friesen - Lowe,University,3975 Johnston Fields,Port Adrianna,CO,08740,https://lined-comparison.info/,12,2022-02-27
13,Nicolas Group,Business,5861 Ludie Brooks,Tristianstead,MD,45939-9101,https://burdensome-plugin.biz/,13,2021-09-22
14,"Bailey, Schultz and Grady",Corporation,687 Elm Road,Port Raeworth,MA,73984,https://slimy-brook.org,14,2022-09-26
15,"Hammes, Tremblay and Hudson",Corporation,139 North Road,Kirlinboro,KY,77704-0548,https://clear-cut-charlatan.net/,15,2023-05-07
16,Boehm - Prohaska,Corporation,700 Howard Street,Port Ulises,WY,30754-9140,https://back-cardboard.biz/,16,2023-07-08
17,"McCullough, Windler and Hirthe",Foundation,390 Alexandra Road,Maple Grove,WY,59566,https://powerless-monocle.org/,17,2020-03-30
18,Wiegand - Toy,Law Firm,3143 Blick Wall,Plantation,NE,86198,https://serpentine-obedience.info,18,2025-01-18
19,"Bayer, Balistreri and Hodkiewicz",University,253 Tower Road,Lake Forest,MA,08899,https://soft-unblinking.org,19,2021-05-04
20,Christiansen and Sons,Nonprofit,76316 Rutherford Manors,Miami Beach,NH,41076-7210,https://overcooked-grandson.info/,20,2024-11-23
21,Larkin and Sons,Business,8919 Gerlach Land,Levittown,KY,20111-1613,https://lined-pigpen.com,21,2021-01-15
22,Cummings - Gottlieb,Foundation,24235 Albany Road,Murazikton,UT,02871-2346,https://lean-representation.biz/,22,2021-05-14
23,"Tremblay, Langworth and Lemke",Corporation,5223 Emory Expressway,North Sigrid,NJ,74055-7412,https://punctual-middle.info/,23,2025-05-05
24,Ferry Group,Foundation,21218 Judson Isle,Broken Arrow,MD,88216-9552,https://deserted-fellow.info,24,2022-10-01
25,Buckridge - Monahan,Business,2450 Collier Causeway,Fort Pierce,SD,67544,https://vengeful-sonar.org/,25,2020-09-02
26,"Wehner, Davis and Bergstrom",University,8172 Casey Spurs,Lednerbury,UT,84343,https://meager-department.org,26,2022-01-29
27,Ullrich LLC,Corporation,631 Pleasant Street,Skylarfield,DE,27057,https://grounded-slime.biz,27,2024-08-01
28,Hyatt - Schmeler,Foundation,77665 Ezekiel Dam,Mount Prospect,MA,91556,https://trustworthy-tribe.name/,28,2023-10-09
29,"Quigley, Cremin and Mayer",Nonprofit,7994 Winifred Stream,Fort Sarahmouth,NJ,03803,https://mysterious-tooth.info/,29,2021-11-17
30,"Klein, Fahey and Kling",Corporation,54935 Ankunding Plaza,Fort Caliview,CA,55072-8210,https://obedient-baseboard.net/,30,2022-06-15
