id,name,date,location,capacity,ticket_price,campaign_id
1,Spring Gala 2025,2024-08-29,"4598 Cesar Harbor, New Steve",483,100,
2,Fall Fundraiser 2025,2025-05-02,"55723 Williamson Knolls, Rolfsonboro",307,250,5
3,Community Health Fair,2026-01-24,"18896 The Poplars, Missoula",222,250,5
4,Volunteer Appreciation Dinner,2025-05-10,"6408 McKenzie Coves, East Meaganland",459,0,3
5,5K Fun Run for Education,2024-09-24,"78612 Wilkinson Fields, Kesslerboro",255,0,8
6,Annual Board Retreat,2024-11-03,"191 The Hawthorns, Largo",378,25,2
7,Holiday Giving Luncheon,2025-03-10,"90565 Buckridge Motorway, Fort Nona",488,0,3
8,Youth Mentorship Kickoff,2024-10-03,"36258 Kingsway, South Charlie",335,25,
9,Donor Appreciation Night,2025-09-26,"4274 Cleora Crossroad, Faystad",253,75,
10,Summer Picnic,2025-12-06,"1465 Cremin Place, Port Eulahcester",71,50,8
11,Leadership Conference,2024-10-23,"653 Metz Light, Kerlukeberg",146,0,4
12,Year-End Celebration,2025-09-21,"295 S Lincoln Street, Boganburgh",53,100,4
