id,person_id,level,fee,start_date,end_date,status
1,60,Gold,500,2024-09-06,2025-09-06,expired
2,108,Gold,500,2025-04-28,2026-04-28,active
3,6,Gold,500,2024-07-14,2025-07-14,active
4,162,Silver,150,2024-10-30,2025-10-30,active
5,11,Gold,500,2024-08-04,2025-08-04,active
6,59,Basic,50,2025-04-25,2026-04-25,active
7,179,Silver,150,2025-05-08,2026-05-08,active
8,48,Silver,150,2024-12-23,2025-12-23,expired
9,92,Gold,500,2024-07-21,2025-07-21,active
10,32,Basic,50,2025-03-23,2026-03-23,cancelled
11,104,Silver,150,2024-04-28,2025-04-28,expired
12,174,Platinum,1000,2025-09-08,2026-09-08,expired
13,20,Platinum,1000,2024-01-11,2025-01-11,active
14,143,Basic,50,2025-05-13,2026-05-13,active
15,44,Silver,150,2024-11-26,2025-11-26,active
16,100,Platinum,1000,2024-04-29,2025-04-29,active
17,180,Platinum,1000,2024-01-22,2025-01-22,expired
18,140,Platinum,1000,2025-10-14,2026-10-14,cancelled
19,200,Silver,150,2025-02-14,2026-02-14,active
20,53,Silver,150,2024-03-06,2025-03-06,active
21,134,Platinum,1000,2024-08-31,2025-08-31,active
22,128,Silver,150,2024-11-17,2025-11-17,cancelled
23,164,Silver,150,2025-03-15,2026-03-15,active
24,127,Basic,50,2024-12-08,2025-12-08,cancelled
25,181,Basic,50,2024-02-18,2025-02-18,active
26,193,Platinum,1000,2025-05-21,2026-05-21,active
27,135,Silver,150,2025-09-13,2026-09-13,expired
28,131,Platinum,1000,2025-07-23,2026-07-23,expired
29,192,Silver,150,2025-08-28,2026-08-28,cancelled
30,80,Basic,50,2024-02-06,2025-02-06,cancelled
31,75,Silver,150,2025-09-03,2026-09-03,active
32,184,Basic,50,2024-02-26,2025-02-26,active
33,105,Basic,50,2024-12-07,2025-12-07,expired
34,4,Platinum,1000,2024-11-05,2025-11-05,active
35,55,Gold,500,2025-01-12,2026-01-12,active
36,147,Basic,50,2024-01-02,2025-01-02,active
37,90,Basic,50,2025-05-08,2026-05-08,active
38,38,Platinum,1000,2025-10-12,2026-10-12,cancelled
39,43,Platinum,1000,2024-07-09,2025-07-09,active
40,195,Basic,50,2025-07-18,2026-07-18,cancelled
