id,person_id,event_id,registered_at,attended,ticket_amount
1,96,1,2024-07-08,no,100
2,76,1,2024-08-05,no,100
3,39,1,2024-07-20,yes,100
4,110,1,2024-07-30,yes,100
5,87,1,2024-08-27,yes,100
6,53,1,2024-08-14,yes,100
7,150,1,2024-07-22,yes,100
8,8,1,2024-08-06,yes,100
9,135,1,2024-07-16,no,100
10,129,1,2024-07-18,yes,100
11,86,1,2024-08-01,yes,100
12,177,1,2024-08-24,yes,100
13,192,1,2024-07-04,yes,100
14,44,1,2024-08-05,yes,100
15,175,1,2024-08-10,yes,100
16,71,1,2024-07-17,no,100
17,130,1,2024-07-04,no,100
18,73,1,2024-07-05,no,100
19,100,1,2024-07-21,yes,100
20,138,1,2024-07-09,yes,100
21,90,1,2024-07-12,yes,100
22,151,1,2024-07-18,yes,100
23,195,1,2024-08-04,no,100
24,41,1,2024-08-08,yes,100
25,58,1,2024-07-24,yes,100
26,20,1,2024-07-24,no,100
27,37,1,2024-07-13,yes,100
28,166,1,2024-08-08,yes,100
29,139,1,2024-08-22,no,100
30,152,1,2024-07-04,yes,100
31,5,1,2024-07-29,yes,100
32,171,1,2024-07-16,yes,100
33,181,1,2024-08-04,yes,100
34,179,1,2024-07-01,no,100
35,162,1,2024-07-12,no,100
36,10,1,2024-07-25,yes,100
37,85,1,2024-08-21,no,100
38,74,1,2024-07-22,yes,100
39,197,1,2024-08-15,yes,100
40,122,1,2024-07-11,no,100
41,156,1,2024-07-11,yes,100
42,102,1,2024-07-01,yes,100
43,125,1,2024-08-08,yes,100
44,149,1,2024-07-19,yes,100
45,22,1,2024-08-09,yes,100
46,137,1,2024-08-24,yes,100
47,117,1,2024-08-28,yes,100
48,109,1,2024-08-15,yes,100
49,143,1,2024-07-04,no,100
50,69,1,2024-08-20,yes,100
51,54,1,2024-08-11,yes,100
52,17,1,2024-08-20,yes,100
53,185,1,2024-07-31,yes,100
54,178,1,2024-07-21,no,100
55,13,1,2024-07-09,yes,100
56,160,1,2024-08-03,yes,100
57,194,1,2024-07-11,yes,100
58,19,1,2024-08-25,yes,100
59,148,1,2024-08-09,yes,100
60,200,1,2024-07-26,no,100
61,80,1,2024-08-13,yes,100
62,67,1,2024-08-03,yes,100
63,35,1,2024-08-04,no,100
64,26,1,2024-07-21,yes,100
65,164,1,2024-07-12,yes,100
66,68,1,2024-07-02,no,100
67,58,2,2025-03-13,yes,250
68,56,2,2025-03-11,yes,250
69,6,2,2025-04-20,no,250
70,149,2,2025-03-23,yes,250
71,54,2,2025-04-28,yes,250
72,105,2,2025-04-15,no,250
73,137,2,2025-03-08,no,250
74,104,2,2025-04-20,yes,250
75,87,2,2025-03-08,yes,250
76,118,2,2025-03-23,yes,250
77,141,2,2025-04-03,yes,250
78,39,2,2025-04-26,yes,250
79,165,2,2025-03-05,yes,250
80,147,2,2025-04-03,yes,250
81,125,2,2025-03-19,yes,250
82,115,2,2025-04-21,no,250
83,66,2,2025-03-22,yes,250
84,1,2,2025-04-09,yes,250
85,44,2,2025-03-26,no,250
86,3,2,2025-04-05,yes,250
87,193,2,2025-04-10,no,250
88,166,2,2025-04-19,yes,250
89,25,2,2025-03-22,yes,250
90,94,2,2025-03-21,yes,250
91,77,2,2025-04-21,yes,250
92,81,2,2025-05-01,yes,250
93,153,2,2025-04-24,no,250
94,8,2,2025-03-24,yes,250
95,120,2,2025-03-09,no,250
96,163,2,2025-04-03,yes,250
97,69,2,2025-04-11,yes,250
98,175,2,2025-03-15,yes,250
99,117,2,2025-03-29,yes,250
100,162,2,2025-04-24,no,250
101,154,2,2025-04-03,no,250
102,45,2,2025-03-29,yes,250
103,196,2,2025-03-15,yes,250
104,121,2,2025-04-10,yes,250
105,93,2,2025-04-15,no,250
106,65,2,2025-03-26,yes,250
107,124,2,2025-04-23,no,250
108,161,2,2025-03-20,yes,250
109,119,2,2025-04-12,yes,250
110,176,2,2025-03-12,yes,250
111,10,2,2025-04-25,yes,250
112,59,2,2025-05-01,no,250
113,112,2,2025-04-28,yes,250
114,27,2,2025-04-18,yes,250
115,102,2,2025-04-12,yes,250
116,108,2,2025-03-23,no,250
117,50,2,2025-04-23,yes,250
118,135,2,2025-04-08,yes,250
119,180,2,2025-03-27,no,250
120,71,2,2025-03-21,no,250
121,171,2,2025-03-13,yes,250
122,95,2,2025-04-12,yes,250
123,169,2,2025-03-22,no,250
124,123,2,2025-04-17,yes,250
125,133,2,2025-04-04,yes,250
126,46,3,2026-01-14,yes,250
127,23,3,2025-12-24,no,250
128,178,3,2025-12-08,yes,250
129,37,3,2025-12-31,no,250
130,28,3,2026-01-18,no,250
131,196,3,2026-01-10,yes,250
132,115,3,2025-11-26,yes,250
133,52,3,2025-12-03,yes,250
134,121,3,2026-01-03,yes,250
135,17,3,2026-01-14,yes,250
136,182,3,2025-12-20,yes,250
137,124,3,2025-12-20,yes,250
138,109,3,2025-11-28,yes,250
139,148,3,2026-01-09,no,250
140,170,3,2025-12-19,yes,250
141,137,3,2026-01-06,no,250
142,6,3,2025-12-11,yes,250
143,123,3,2026-01-11,yes,250
144,187,3,2025-12-01,yes,250
145,116,3,2025-12-06,yes,250
146,108,3,2025-12-26,no,250
147,183,3,2025-12-22,yes,250
148,136,3,2025-12-08,no,250
149,185,3,2025-12-05,yes,250
150,142,3,2025-12-06,no,250
151,167,3,2025-12-23,yes,250
152,18,3,2025-12-16,no,250
153,98,3,2025-12-28,yes,250
154,171,4,2025-03-17,no,0
155,41,4,2025-03-12,no,0
156,122,4,2025-03-19,no,0
157,167,4,2025-04-23,yes,0
158,152,4,2025-04-13,yes,0
159,77,4,2025-03-21,no,0
160,81,4,2025-04-04,yes,0
161,187,4,2025-03-21,yes,0
162,184,4,2025-05-02,yes,0
163,62,4,2025-05-07,no,0
